sample_id,acid,conc_gL,day,inoc,T,feedstock,pH,rep,inoc_T,T_inoc,inoc_pH,T_pH,pH_inoc,feedstock_T
B_45_F_5_B_D2,C3,0.003760844,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_C_D2,ISOC5,0.02849484,4.8,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_B_D2,C5,0.042829626,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_B_D2,ISOC5,0.053505361,4.8,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_A_D2,ISOC4,0.05433288,4.8,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_B_D2,ISOC4,0.05433288,4.8,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_5_B_D2,ISOC5,0.055275615,4.8,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_C_D2,ISOC5,0.058182841,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D2,ISOC4,0.059451247,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D2,ISOC4,0.059451247,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_B_D2,ISOC4,0.059451247,4.8,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_7_C_D2,ISOC5,0.072215279,4.8,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_C_D2,ISOC4,0.074806346,4.8,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_7_B_D2,ISOC5,0.075008052,4.8,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_9_A_D2,ISOC5,0.076700235,4.8,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_B_D2,C4,0.07683129,4.8,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_A_D2,ISOC4,0.079924713,4.8,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_7_A_D2,ISOC5,0.08205639,4.8,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_9_C_D2,ISOC4,0.085043079,4.8,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_9_C_D2,ISOC5,0.086438326,4.8,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_5_A_D2,ISOC4,0.086707221,4.8,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_9_C_D2,ISOC4,0.086707221,4.8,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_A_D2,C4,0.0873039,4.8,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_5_A_D2,ISOC5,0.090248418,4.8,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_7_A_D2,ISOC4,0.095054744,4.8,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_B_D2,ISOC4,0.095054744,4.8,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_7_B_D2,ISOC4,0.095054744,4.8,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_9_B_D2,ISOC5,0.100280154,4.8,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_9_C_D2,C4,0.100354942,4.8,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_9_B_D2,C3,0.110000811,4.8,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_7_C_D2,ISOC4,0.11174979,4.8,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_7_A_D2,ISOC5,0.113108966,4.8,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_B_D2,ISOC5,0.116919058,4.8,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_9_A_D2,ISOC4,0.120097313,4.8,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_D_D2,C2,0.120522129,4.8,B,35,Control,5,D,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,Control_35
B_45_F_7_C_D2,ISOC5,0.120729149,4.8,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_9_C_D2,C3,0.120946967,4.8,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_A_D2,ISOC5,0.13302251,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_A_D2,C3,0.14258189,4.8,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_9_D_D2,C2,0.145055804,4.8,B,35,Control,9,D,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,Control_35
B_45_F_5_B_D2,C6,0.156929229,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_C_D2,ISOC5,0.165764865,4.8,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_A_D2,ISOC5,0.166450247,4.8,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_A_D2,C3,0.200014775,4.8,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_C_D2,C5,0.202095053,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D2,C4,0.210560439,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_C_D2,C4,0.219637078,4.8,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_A_D3_2,C2,1.060992996,10.7,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_9_B_D2,C4,0.233554591,4.8,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_C_D2,C3,0.236957725,4.8,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D2,C3,0.248196031,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_A_D2,C4,0.249859757,4.8,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_B_D2,C3,0.270161568,4.8,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D2,C2,0.276764752,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D2,C3,0.293348925,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D2,C6,0.312700558,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_B_D2,C2,0.335198706,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D2,C4,0.339448714,4.8,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D2,C6,0.366348262,4.8,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_B_D2,C7,0.373487446,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
